Exp 2;;;Exp 1
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3836,99;;;1569,38
3880,56;;;1569,38
3880,56;;;1569,38
3880,56;;;1569,38
3880,56;;;1569,38
3880,56;;;1569,38
3880,56;;;1569,38
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1579,99
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3880,56;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1596,66
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
3954,64;;;1688,45
4355,54;;;1696,74
4355,54;;;1696,74
4355,54;;;1696,74
4355,54;;;1696,74
4355,54;;;1696,74
4355,54;;;1696,74
4355,54;;;1696,74
4355,54;;;1696,74
4355,54;;;1696,74
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1698,47
4355,54;;;1829,93
4355,54;;;1829,93
4355,54;;;1829,93
4355,54;;;1829,93
4355,54;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4390,40;;;1829,93
4399,11;;;1859,98
4399,11;;;1859,98
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;1869,34
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4399,11;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
4969,95;;;
5100,68;;;
5100,68;;;
5100,68;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
5144,25;;;
;;;
;;;
