Edad;Sexo;Precio elegido
26;Hombre;3,836.99
29;Hombre;3,836.99
29;Hombre;3,836.99
30;Hombre;3,836.99
31;Hombre;3,836.99
32;Hombre;3,836.99
36;Hombre;3,836.99
41;Hombre;3,836.99
45;Hombre;3,836.99
46;Hombre;3,836.99
53;Hombre;3,836.99
18;Mujer;3,836.99
18;Mujer;3,836.99
18;Mujer;3,836.99
18;Mujer;3,836.99
24;Mujer;3,836.99
25;Mujer;3,836.99
25;Mujer;3,836.99
26;Mujer;3,836.99
26;Mujer;3,836.99
26;Mujer;3,836.99
26;Mujer;3,836.99
27;Mujer;3,836.99
27;Mujer;3,836.99
27;Mujer;3,836.99
27;Mujer;3,836.99
30;Mujer;3,836.99
30;Mujer;3,836.99
30;Mujer;3,836.99
31;Mujer;3,836.99
31;Mujer;3,836.99
32;Mujer;3,836.99
34;Mujer;3,836.99
35;Mujer;3,836.99
35;Mujer;3,836.99
36;Mujer;3,836.99
37;Mujer;3,836.99
38;Mujer;3,836.99
39;Mujer;3,836.99
39;Mujer;3,836.99
43;Mujer;3,836.99
44;Mujer;3,836.99
44;Mujer;3,836.99
45;Mujer;3,836.99
46;Mujer;3,836.99
46;Mujer;3,836.99
47;Mujer;3,836.99
49;Mujer;3,836.99
50;Mujer;3,836.99
50;Mujer;3,836.99
51;Mujer;3,836.99
51;Mujer;3,836.99
52;Mujer;3,836.99
59;Mujer;3,836.99
73;Mujer;3,836.99
18;Hombre;3880.56
33;Hombre;3880.56
36;Hombre;3880.56
44;Hombre;3880.56
46;Hombre;3880.56
73;Hombre;3880.56
18;Mujer;3880.56
21;Mujer;3880.56
26;Mujer;3880.56
27;Mujer;3880.56
27;Mujer;3880.56
30;Mujer;3880.56
30;Mujer;3880.56
31;Mujer;3880.56
32;Mujer;3880.56
33;Mujer;3880.56
34;Mujer;3880.56
37;Mujer;3880.56
38;Mujer;3880.56
39;Mujer;3880.56
42;Mujer;3880.56
46;Mujer;3880.56
46;Mujer;3880.56
48;Mujer;3880.56
53;Mujer;3880.56
57;Mujer;3880.56
59;Mujer;3880.56
63;Mujer;3880.56
18;Hombre;3954.64
18;Hombre;3954.64
22;Hombre;3954.64
29;Hombre;3954.64
32;Hombre;3954.64
40;Hombre;3954.64
40;Hombre;3954.64
41;Hombre;3954.64
50;Hombre;3954.64
55;Hombre;3954.64
78;Hombre;3954.64
18;Mujer;3954.64
25;Mujer;3954.64
26;Mujer;3954.64
27;Mujer;3954.64
30;Mujer;3954.64
30;Mujer;3954.64
32;Mujer;3954.64
33;Mujer;3954.64
33;Mujer;3954.64
34;Mujer;3954.64
34;Mujer;3954.64
35;Mujer;3954.64
36;Mujer;3954.64
39;Mujer;3954.64
40;Mujer;3954.64
40;Mujer;3954.64
40;Mujer;3954.64
49;Mujer;3954.64
51;Mujer;3954.64
51;Mujer;3954.64
54;Mujer;3954.64
54;Mujer;3954.64
57;Mujer;3954.64
59;Mujer;3954.64
61;Mujer;3954.64
18;Hombre;4355.54
21;Hombre;4355.54
30;Hombre;4355.54
30;Hombre;4355.54
30;Hombre;4355.54
32;Hombre;4355.54
53;Hombre;4355.54
53;Hombre;4355.54
61;Hombre;4355.54
18;Mujer;4355.54
18;Mujer;4355.54
18;Mujer;4355.54
27;Mujer;4355.54
28;Mujer;4355.54
28;Mujer;4355.54
29;Mujer;4355.54
33;Mujer;4355.54
40;Mujer;4355.54
41;Mujer;4355.54
42;Mujer;4355.54
42;Mujer;4355.54
42;Mujer;4355.54
44;Mujer;4355.54
47;Mujer;4355.54
48;Mujer;4355.54
52;Mujer;4355.54
59;Mujer;4355.54
70;Mujer;4355.54
18;Hombre;4390.4
38;Hombre;4390.4
39;Hombre;4390.4
41;Hombre;4390.4
50;Hombre;4390.4
18;Mujer;4390.4
29;Mujer;4390.4
29;Mujer;4390.4
41;Mujer;4390.4
54;Mujer;4390.4
59;Mujer;4390.4
24;Hombre;4390.4
27;Hombre;4390.4
27;Hombre;4390.4
30;Hombre;4390.4
34;Hombre;4390.4
34;Hombre;4390.4
36;Hombre;4390.4
40;Hombre;4390.4
44;Hombre;4390.4
44;Hombre;4390.4
53;Hombre;4390.4
18;Mujer;4390.4
24;Mujer;4390.4
27;Mujer;4390.4
27;Mujer;4390.4
27;Mujer;4390.4
27;Mujer;4390.4
29;Mujer;4390.4
33;Mujer;4390.4
34;Mujer;4390.4
35;Mujer;4390.4
36;Mujer;4390.4
44;Mujer;4390.4
44;Mujer;4390.4
51;Mujer;4390.4
65;Mujer;4390.4
18;Hombre;4969.95
19;Hombre;4969.95
24;Hombre;4969.95
26;Hombre;4969.95
31;Hombre;4969.95
35;Hombre;4969.95
36;Hombre;4969.95
40;Hombre;4969.95
44;Hombre;4969.95
44;Hombre;4969.95
48;Hombre;4969.95
63;Hombre;4969.95
28;Mujer;4969.95
30;Mujer;4969.95
33;Mujer;4969.95
36;Mujer;4969.95
46;Mujer;4969.95
51;Mujer;4969.95
59;Mujer;4969.95
55;Hombre;5100.68
61;Hombre;5100.68
26;Mujer;5100.68
29;Hombre;5144.25
37;Hombre;5144.25
43;Hombre;5144.25
51;Hombre;5144.25
66;Hombre;5144.25
18;Mujer;5144.25
27;Mujer;5144.25
35;Mujer;5144.25
35;Mujer;5144.25
50;Mujer;5144.25
53;Mujer;5144.25
58;Mujer;5144.25
60;Mujer;5144.25
72;Mujer;5144.25
;;
